Mod:Item:MetaData, Localized Name
thermaldynamics:cover:0, 覆盖板：橙色混凝土粉末
thermaldynamics:cover:0, 覆盖板：品红色混凝土粉末
thermaldynamics:cover:0, 覆盖板：淡蓝色混凝土粉末
thermaldynamics:cover:0, 覆盖板：黄色混凝土粉末
thermaldynamics:cover:0, 覆盖板：黄绿色混凝土粉末
thermaldynamics:cover:0, 覆盖板：粉红色混凝土粉末
thermaldynamics:cover:0, 覆盖板：灰色混凝土粉末
thermaldynamics:cover:0, 覆盖板：淡灰色混凝土粉末
thermaldynamics:cover:0, 覆盖板：青色混凝土粉末
thermaldynamics:cover:0, 覆盖板：紫色混凝土粉末
thermaldynamics:cover:0, 覆盖板：蓝色混凝土粉末
thermaldynamics:cover:0, 覆盖板：棕色混凝土粉末
thermaldynamics:cover:0, 覆盖板：绿色混凝土粉末
thermaldynamics:cover:0, 覆盖板：红色混凝土粉末
thermaldynamics:cover:0, 覆盖板：黑色混凝土粉末
thermaldynamics:cover:0, 覆盖板：玄武岩
thermaldynamics:cover:0, 覆盖板：铜矿石
thermaldynamics:cover:0, 覆盖板：铅矿石
thermaldynamics:cover:0, 覆盖板：锡矿石
thermaldynamics:cover:0, 覆盖板：铀矿石
thermaldynamics:cover:0, 覆盖板：青铜块
thermaldynamics:cover:0, 覆盖板：铜块
thermaldynamics:cover:0, 覆盖板：铅块
thermaldynamics:cover:0, 覆盖板：钢块
thermaldynamics:cover:0, 覆盖板：锡块
thermaldynamics:cover:0, 覆盖板：铀块
thermaldynamics:cover:0, 覆盖板：防爆石
thermaldynamics:cover:0, 覆盖板：基础机械外壳
thermaldynamics:cover:0, 覆盖板：高级机械外壳
thermaldynamics:cover:0, 覆盖板：核反应堆压力容器
thermaldynamics:cover:0, 覆盖板：银块
thermaldynamics:cover:0, 覆盖板：橡胶树树叶
thermaldynamics:cover:0, 覆盖板：橡胶树原木
thermaldynamics:cover:0, 覆盖板：橡胶树树苗
thermaldynamics:cover:0, 覆盖板：脚手架
thermaldynamics:cover:0, 覆盖板：强化脚手架
thermaldynamics:cover:0, 覆盖板：铁质脚手架
thermaldynamics:cover:0, 覆盖板：强化铁质脚手架
thermaldynamics:cover:0, 覆盖板：铁栅栏
thermaldynamics:cover:0, 覆盖板：树脂垫
thermaldynamics:cover:0, 覆盖板：橡胶垫
thermaldynamics:cover:0, 覆盖板：羊毛垫
thermaldynamics:cover:0, 覆盖板：防爆玻璃
thermaldynamics:cover:0, 覆盖板：建筑泡沫
thermaldynamics:cover:0, 覆盖板：强化建筑泡沫
thermaldynamics:cover:0, 覆盖板：建筑泡沫墙（黑色）
thermaldynamics:cover:0, 覆盖板：建筑泡沫墙（蓝色）
thermaldynamics:cover:0, 覆盖板：建筑泡沫墙（棕色）
thermaldynamics:cover:0, 覆盖板：建筑泡沫墙（青色）
thermaldynamics:cover:0, 覆盖板：建筑泡沫墙（灰色）
thermaldynamics:cover:0, 覆盖板：建筑泡沫墙（绿色）
thermaldynamics:cover:0, 覆盖板：建筑泡沫墙（淡蓝色）
thermaldynamics:cover:0, 覆盖板：建筑泡沫墙（淡灰色）
thermaldynamics:cover:0, 覆盖板：建筑泡沫墙（黄绿色）
thermaldynamics:cover:0, 覆盖板：建筑泡沫墙（品红色）
thermaldynamics:cover:0, 覆盖板：建筑泡沫墙（橙色）
thermaldynamics:cover:0, 覆盖板：建筑泡沫墙（粉红色）
thermaldynamics:cover:0, 覆盖板：建筑泡沫墙（紫色）
thermaldynamics:cover:0, 覆盖板：建筑泡沫墙（红色）
thermaldynamics:cover:0, 覆盖板：建筑泡沫墙（白色）
thermaldynamics:cover:0, 覆盖板：建筑泡沫墙（黄色）
thermaldynamics:cover:0, 覆盖板：采矿管道
thermaldynamics:cover:0, 覆盖板：防爆门
thermaldynamics:cover:0, 覆盖板：耐火砖
thermaldynamics:cover:0, 覆盖板：UU物质
thermaldynamics:cover:0, 覆盖板：建筑泡沫
thermaldynamics:cover:0, 覆盖板：IC2冷却液
thermaldynamics:cover:0, 覆盖板：杂酚油
thermaldynamics:cover:0, 覆盖板：IC2热冷却液
thermaldynamics:cover:0, 覆盖板：绳状熔岩
thermaldynamics:cover:0, 覆盖板：生物质
thermaldynamics:cover:0, 覆盖板：沼气
thermaldynamics:cover:0, 覆盖板：蒸馏水
thermaldynamics:cover:0, 覆盖板：过热蒸汽
thermaldynamics:cover:0, 覆盖板：蒸汽
thermaldynamics:cover:0, 覆盖板：温泉水
thermaldynamics:cover:0, 覆盖板：除草剂喷雾
thermaldynamics:cover:0, 覆盖板：空气
thermaldynamics:cover:0, 覆盖板：氢气
thermaldynamics:cover:0, 覆盖板：氧气
thermaldynamics:cover:0, 覆盖板：重水
thermaldynamics:cover:0, 覆盖板：Milk
thermaldynamics:cover:0, 覆盖板：铜矿石
thermaldynamics:cover:0, 覆盖板：锡矿石
thermaldynamics:cover:0, 覆盖板：银矿石
thermaldynamics:cover:0, 覆盖板：铅矿石
thermaldynamics:cover:0, 覆盖板：铝矿石
thermaldynamics:cover:0, 覆盖板：镍矿石
thermaldynamics:cover:0, 覆盖板：铂矿石
thermaldynamics:cover:0, 覆盖板：铱矿石
thermaldynamics:cover:0, 覆盖板：蕴魔秘银矿石
thermaldynamics:cover:0, 覆盖板：油砂
thermaldynamics:cover:0, 覆盖板：油页岩
thermaldynamics:cover:0, 覆盖板：不稳定红石矿石
thermaldynamics:cover:0, 覆盖板：充能地狱岩
thermaldynamics:cover:0, 覆盖板：谐振末影矿石
thermaldynamics:cover:0, 覆盖板：油砂
thermaldynamics:cover:0, 覆盖板：铜块
thermaldynamics:cover:0, 覆盖板：锡块
thermaldynamics:cover:0, 覆盖板：银块
thermaldynamics:cover:0, 覆盖板：铅块
thermaldynamics:cover:0, 覆盖板：铝块
thermaldynamics:cover:0, 覆盖板：镍块
thermaldynamics:cover:0, 覆盖板：铂块
thermaldynamics:cover:0, 覆盖板：铱块
thermaldynamics:cover:0, 覆盖板：蕴魔秘银块
thermaldynamics:cover:0, 覆盖板：钢块
thermaldynamics:cover:0, 覆盖板：琥珀金块
thermaldynamics:cover:0, 覆盖板：殷钢块
thermaldynamics:cover:0, 覆盖板：青铜块
thermaldynamics:cover:0, 覆盖板：康铜块
thermaldynamics:cover:0, 覆盖板：信素块
thermaldynamics:cover:0, 覆盖板：流明块
thermaldynamics:cover:0, 覆盖板：末影块
thermaldynamics:cover:0, 覆盖板：木炭块
thermaldynamics:cover:0, 覆盖板：焦炭块
thermaldynamics:cover:0, 覆盖板：硬化铜玻璃
thermaldynamics:cover:0, 覆盖板：硬化锡玻璃
thermaldynamics:cover:0, 覆盖板：硬化银玻璃
thermaldynamics:cover:0, 覆盖板：硬化玻璃
thermaldynamics:cover:0, 覆盖板：硬化铝玻璃
thermaldynamics:cover:0, 覆盖板：硬化镍玻璃
thermaldynamics:cover:0, 覆盖板：硬化铂玻璃
thermaldynamics:cover:0, 覆盖板：硬化铱玻璃
thermaldynamics:cover:0, 覆盖板：硬化蕴魔秘银玻璃
thermaldynamics:cover:0, 覆盖板：硬化钢玻璃
thermaldynamics:cover:0, 覆盖板：硬化琥珀金玻璃
thermaldynamics:cover:0, 覆盖板：硬化殷钢玻璃
thermaldynamics:cover:0, 覆盖板：硬化青铜玻璃
thermaldynamics:cover:0, 覆盖板：硬化康铜玻璃
thermaldynamics:cover:0, 覆盖板：硬化信素玻璃
thermaldynamics:cover:0, 覆盖板：硬化流明玻璃
thermaldynamics:cover:0, 覆盖板：硬化末影玻璃
thermaldynamics:cover:0, 覆盖板：黑色石棉
thermaldynamics:cover:0, 覆盖板：红色石棉
thermaldynamics:cover:0, 覆盖板：绿色石棉
thermaldynamics:cover:0, 覆盖板：棕色石棉
thermaldynamics:cover:0, 覆盖板：蓝色石棉
thermaldynamics:cover:0, 覆盖板：紫色石棉
thermaldynamics:cover:0, 覆盖板：青色石棉
thermaldynamics:cover:0, 覆盖板：淡灰色石棉
thermaldynamics:cover:0, 覆盖板：灰色石棉
thermaldynamics:cover:0, 覆盖板：粉红色石棉
thermaldynamics:cover:0, 覆盖板：黄绿色石棉
thermaldynamics:cover:0, 覆盖板：黄色石棉
thermaldynamics:cover:0, 覆盖板：淡蓝色石棉
thermaldynamics:cover:0, 覆盖板：品红色石棉
thermaldynamics:cover:0, 覆盖板：橙色石棉
thermaldynamics:cover:0, 覆盖板：白色石棉
thermaldynamics:cover:0, 覆盖板：龙矿
thermaldynamics:cover:0, 覆盖板：下界龙矿
thermaldynamics:cover:0, 覆盖板：末地龙矿
thermaldynamics:cover:0, 覆盖板：龙块
thermaldynamics:cover:0, 覆盖板：充能龙块
thermaldynamics:cover:0, 覆盖板：觉醒龙块
thermaldynamics:cover:0, 覆盖板：注入龙力的黑曜石
thermaldynamics:cover:0, 覆盖板：物品磁铁消磁器
thermaldynamics:cover:0, 覆盖板：雨水传感器
thermaldynamics:cover:0, 覆盖板：营火
thermaldynamics:cover:0, 覆盖板：雨水收集器
thermaldynamics:cover:0, 覆盖板：沼泽泥
thermaldynamics:cover:0, 覆盖板：腐殖土
thermaldynamics:cover:0, 覆盖板：磷矿石
thermaldynamics:cover:0, 覆盖板：铜矿石
thermaldynamics:cover:0, 覆盖板：锡矿石
thermaldynamics:cover:0, 覆盖板：磷灰石块
thermaldynamics:cover:0, 覆盖板：铜块
thermaldynamics:cover:0, 覆盖板：锡块
thermaldynamics:cover:0, 覆盖板：青铜块
thermaldynamics:cover:0, 覆盖板：灰砖
thermaldynamics:cover:0, 覆盖板：灰砖楼梯
thermaldynamics:cover:0, 覆盖板：木炭块
thermaldynamics:cover:0, 覆盖板：原木堆
thermaldynamics:cover:0, 覆盖板：装饰用原木堆
thermaldynamics:cover:0, 覆盖板：壤土
thermaldynamics:cover:0, 覆盖板：落叶树原木
thermaldynamics:cover:0, 覆盖板：柚树原木
thermaldynamics:cover:0, 覆盖板：金合欢树原木
thermaldynamics:cover:0, 覆盖板：酸橙树原木
thermaldynamics:cover:0, 覆盖板：栗树原木
thermaldynamics:cover:0, 覆盖板：崖豆树原木
thermaldynamics:cover:0, 覆盖板：猴面包树原木
thermaldynamics:cover:0, 覆盖板：红杉树原木
thermaldynamics:cover:0, 覆盖板：木棉树原木
thermaldynamics:cover:0, 覆盖板：乌檀树原木
thermaldynamics:cover:0, 覆盖板：桃心树原木
thermaldynamics:cover:0, 覆盖板：巴尔杉树原木
thermaldynamics:cover:0, 覆盖板：柳树原木
thermaldynamics:cover:0, 覆盖板：胡桃树原木
thermaldynamics:cover:0, 覆盖板：绿樟树原木
thermaldynamics:cover:0, 覆盖板：樱树原木
thermaldynamics:cover:0, 覆盖板：高槿树原木
thermaldynamics:cover:0, 覆盖板：白杨树原木
thermaldynamics:cover:0, 覆盖板：棕榈树原木
thermaldynamics:cover:0, 覆盖板：木瓜树原木
thermaldynamics:cover:0, 覆盖板：松树原木
thermaldynamics:cover:0, 覆盖板：李子树原木
thermaldynamics:cover:0, 覆盖板：枫树原木
thermaldynamics:cover:0, 覆盖板：柑橘树原木
thermaldynamics:cover:0, 覆盖板：巨杉树原木
thermaldynamics:cover:0, 覆盖板：重蚁树原木
thermaldynamics:cover:0, 覆盖板：紫檀树原木
thermaldynamics:cover:0, 覆盖板：黄檀树原木
thermaldynamics:cover:0, 覆盖板：斑木树原木
thermaldynamics:cover:0, 覆盖板：抗燃落叶树原木
thermaldynamics:cover:0, 覆盖板：抗燃柚树原木
thermaldynamics:cover:0, 覆盖板：抗燃金合欢树原木
thermaldynamics:cover:0, 覆盖板：抗燃酸橙树原木
thermaldynamics:cover:0, 覆盖板：抗燃栗树原木
thermaldynamics:cover:0, 覆盖板：抗燃崖豆树原木
thermaldynamics:cover:0, 覆盖板：抗燃猴面包树原木
thermaldynamics:cover:0, 覆盖板：抗燃红杉树原木
thermaldynamics:cover:0, 覆盖板：抗燃木棉树原木
thermaldynamics:cover:0, 覆盖板：抗燃乌檀树原木
thermaldynamics:cover:0, 覆盖板：抗燃桃心树原木
thermaldynamics:cover:0, 覆盖板：抗燃巴尔杉树原木
thermaldynamics:cover:0, 覆盖板：抗燃柳树原木
thermaldynamics:cover:0, 覆盖板：抗燃胡桃树原木
thermaldynamics:cover:0, 覆盖板：抗燃绿樟树原木
thermaldynamics:cover:0, 覆盖板：抗燃樱树原木
thermaldynamics:cover:0, 覆盖板：抗燃高槿树原木
thermaldynamics:cover:0, 覆盖板：抗燃白杨树原木
thermaldynamics:cover:0, 覆盖板：抗燃棕榈树原木
thermaldynamics:cover:0, 覆盖板：抗燃木瓜树原木
thermaldynamics:cover:0, 覆盖板：抗燃松树原木
thermaldynamics:cover:0, 覆盖板：抗燃李子树原木
thermaldynamics:cover:0, 覆盖板：抗燃枫树原木
thermaldynamics:cover:0, 覆盖板：抗燃柑橘树原木
thermaldynamics:cover:0, 覆盖板：抗燃巨杉树原木
thermaldynamics:cover:0, 覆盖板：抗燃重蚁树原木
thermaldynamics:cover:0, 覆盖板：抗燃紫檀树原木
thermaldynamics:cover:0, 覆盖板：抗燃黄檀树原木
thermaldynamics:cover:0, 覆盖板：抗燃斑木树原木
thermaldynamics:cover:0, 覆盖板：抗燃橡木
thermaldynamics:cover:0, 覆盖板：抗燃云杉木
thermaldynamics:cover:0, 覆盖板：抗燃白桦木
thermaldynamics:cover:0, 覆盖板：抗燃丛林木
thermaldynamics:cover:0, 覆盖板：抗燃金合欢木
thermaldynamics:cover:0, 覆盖板：抗燃深色橡木
thermaldynamics:cover:0, 覆盖板：落叶树木板
thermaldynamics:cover:0, 覆盖板：柚树木板
thermaldynamics:cover:0, 覆盖板：金合欢树木板
thermaldynamics:cover:0, 覆盖板：酸橙树木板
thermaldynamics:cover:0, 覆盖板：栗树木板
thermaldynamics:cover:0, 覆盖板：崖豆树木板
thermaldynamics:cover:0, 覆盖板：猴面包树木板
thermaldynamics:cover:0, 覆盖板：红杉树木板
thermaldynamics:cover:0, 覆盖板：木棉树木板
thermaldynamics:cover:0, 覆盖板：乌檀树木板
thermaldynamics:cover:0, 覆盖板：桃心树木板
thermaldynamics:cover:0, 覆盖板：巴尔杉树木板
thermaldynamics:cover:0, 覆盖板：柳树木板
thermaldynamics:cover:0, 覆盖板：胡桃树木板
thermaldynamics:cover:0, 覆盖板：绿樟树木板
thermaldynamics:cover:0, 覆盖板：樱树木板
thermaldynamics:cover:0, 覆盖板：高槿树木板
thermaldynamics:cover:0, 覆盖板：白杨树木板
thermaldynamics:cover:0, 覆盖板：棕榈树木板
thermaldynamics:cover:0, 覆盖板：木瓜树木板
thermaldynamics:cover:0, 覆盖板：松树木板
thermaldynamics:cover:0, 覆盖板：李子树木板
thermaldynamics:cover:0, 覆盖板：枫树木板
thermaldynamics:cover:0, 覆盖板：柑橘树木板
thermaldynamics:cover:0, 覆盖板：巨杉树木板
thermaldynamics:cover:0, 覆盖板：重蚁树木板
thermaldynamics:cover:0, 覆盖板：紫檀树木板
thermaldynamics:cover:0, 覆盖板：黄檀树木板
thermaldynamics:cover:0, 覆盖板：斑木树木板
thermaldynamics:cover:0, 覆盖板：抗燃落叶树木板
thermaldynamics:cover:0, 覆盖板：抗燃柚树木板
thermaldynamics:cover:0, 覆盖板：抗燃金合欢树木板
thermaldynamics:cover:0, 覆盖板：抗燃酸橙树木板
thermaldynamics:cover:0, 覆盖板：抗燃栗树木板
thermaldynamics:cover:0, 覆盖板：抗燃崖豆树木板
thermaldynamics:cover:0, 覆盖板：抗燃猴面包树木板
thermaldynamics:cover:0, 覆盖板：抗燃红杉树木板
thermaldynamics:cover:0, 覆盖板：抗燃木棉树木板
thermaldynamics:cover:0, 覆盖板：抗燃乌檀树木板
thermaldynamics:cover:0, 覆盖板：抗燃桃心树木板
thermaldynamics:cover:0, 覆盖板：抗燃巴尔杉树木板
thermaldynamics:cover:0, 覆盖板：抗燃柳树木板
thermaldynamics:cover:0, 覆盖板：抗燃胡桃树木板
thermaldynamics:cover:0, 覆盖板：抗燃绿樟树木板
thermaldynamics:cover:0, 覆盖板：抗燃樱树木板
thermaldynamics:cover:0, 覆盖板：抗燃高槿树木板
thermaldynamics:cover:0, 覆盖板：抗燃白杨树木板
thermaldynamics:cover:0, 覆盖板：抗燃棕榈树木板
thermaldynamics:cover:0, 覆盖板：抗燃木瓜树木板
thermaldynamics:cover:0, 覆盖板：抗燃松树木板
thermaldynamics:cover:0, 覆盖板：抗燃李子树木板
thermaldynamics:cover:0, 覆盖板：抗燃枫树木板
thermaldynamics:cover:0, 覆盖板：抗燃柑橘树木板
thermaldynamics:cover:0, 覆盖板：抗燃巨杉树木板
thermaldynamics:cover:0, 覆盖板：抗燃重蚁树木板
thermaldynamics:cover:0, 覆盖板：抗燃紫檀树木板
thermaldynamics:cover:0, 覆盖板：抗燃黄檀树木板
thermaldynamics:cover:0, 覆盖板：抗燃斑木树木板
thermaldynamics:cover:0, 覆盖板：抗燃橡木木板
thermaldynamics:cover:0, 覆盖板：抗燃云杉木板
thermaldynamics:cover:0, 覆盖板：抗燃白桦木板
thermaldynamics:cover:0, 覆盖板：抗燃丛林木板
thermaldynamics:cover:0, 覆盖板：抗燃金合欢木板
thermaldynamics:cover:0, 覆盖板：抗燃深色橡木木板
thermaldynamics:cover:0, 覆盖板：落叶树台阶
thermaldynamics:cover:0, 覆盖板：柚树台阶
thermaldynamics:cover:0, 覆盖板：金合欢树台阶
thermaldynamics:cover:0, 覆盖板：酸橙树台阶
thermaldynamics:cover:0, 覆盖板：栗树台阶
thermaldynamics:cover:0, 覆盖板：崖豆树台阶
thermaldynamics:cover:0, 覆盖板：猴面包树台阶
thermaldynamics:cover:0, 覆盖板：红杉树台阶
thermaldynamics:cover:0, 覆盖板：木棉树台阶
thermaldynamics:cover:0, 覆盖板：乌檀树台阶
thermaldynamics:cover:0, 覆盖板：桃心树台阶
thermaldynamics:cover:0, 覆盖板：巴尔杉树台阶
thermaldynamics:cover:0, 覆盖板：柳树台阶
thermaldynamics:cover:0, 覆盖板：胡桃树台阶
thermaldynamics:cover:0, 覆盖板：绿樟树台阶
thermaldynamics:cover:0, 覆盖板：樱树台阶
thermaldynamics:cover:0, 覆盖板：高槿树台阶
thermaldynamics:cover:0, 覆盖板：白杨树台阶
thermaldynamics:cover:0, 覆盖板：棕榈树台阶
thermaldynamics:cover:0, 覆盖板：木瓜树台阶
thermaldynamics:cover:0, 覆盖板：松树台阶
thermaldynamics:cover:0, 覆盖板：李子树台阶
thermaldynamics:cover:0, 覆盖板：枫树台阶
thermaldynamics:cover:0, 覆盖板：柑橘树台阶
thermaldynamics:cover:0, 覆盖板：巨杉树台阶
thermaldynamics:cover:0, 覆盖板：重蚁树台阶
thermaldynamics:cover:0, 覆盖板：紫檀树台阶
thermaldynamics:cover:0, 覆盖板：黄檀树台阶
thermaldynamics:cover:0, 覆盖板：斑木树台阶
thermaldynamics:cover:0, 覆盖板：抗燃落叶树台阶
thermaldynamics:cover:0, 覆盖板：抗燃柚树台阶
thermaldynamics:cover:0, 覆盖板：抗燃金合欢树台阶
thermaldynamics:cover:0, 覆盖板：抗燃酸橙树台阶
thermaldynamics:cover:0, 覆盖板：抗燃栗树台阶
thermaldynamics:cover:0, 覆盖板：抗燃崖豆树台阶
thermaldynamics:cover:0, 覆盖板：抗燃猴面包树台阶
thermaldynamics:cover:0, 覆盖板：抗燃红杉树台阶
thermaldynamics:cover:0, 覆盖板：抗燃木棉树台阶
thermaldynamics:cover:0, 覆盖板：抗燃乌檀树台阶
thermaldynamics:cover:0, 覆盖板：抗燃桃心树台阶
thermaldynamics:cover:0, 覆盖板：抗燃巴尔杉树台阶
thermaldynamics:cover:0, 覆盖板：抗燃柳树台阶
thermaldynamics:cover:0, 覆盖板：抗燃胡桃树台阶
thermaldynamics:cover:0, 覆盖板：抗燃绿樟树台阶
thermaldynamics:cover:0, 覆盖板：抗燃樱树台阶
thermaldynamics:cover:0, 覆盖板：抗燃高槿树台阶
thermaldynamics:cover:0, 覆盖板：抗燃白杨树台阶
thermaldynamics:cover:0, 覆盖板：抗燃棕榈树台阶
thermaldynamics:cover:0, 覆盖板：抗燃木瓜树台阶
thermaldynamics:cover:0, 覆盖板：抗燃松树台阶
thermaldynamics:cover:0, 覆盖板：抗燃李子树台阶
thermaldynamics:cover:0, 覆盖板：抗燃枫树台阶
thermaldynamics:cover:0, 覆盖板：抗燃柑橘树台阶
thermaldynamics:cover:0, 覆盖板：抗燃巨杉树台阶
thermaldynamics:cover:0, 覆盖板：抗燃重蚁树台阶
thermaldynamics:cover:0, 覆盖板：抗燃紫檀树台阶
thermaldynamics:cover:0, 覆盖板：抗燃黄檀树台阶
thermaldynamics:cover:0, 覆盖板：抗燃斑木树台阶
thermaldynamics:cover:0, 覆盖板：抗燃橡木台阶
thermaldynamics:cover:0, 覆盖板：抗燃云杉木台阶
thermaldynamics:cover:0, 覆盖板：抗燃桦木台阶
thermaldynamics:cover:0, 覆盖板：抗燃丛林木台阶
thermaldynamics:cover:0, 覆盖板：抗燃金合欢木台阶
thermaldynamics:cover:0, 覆盖板：抗燃深色橡木台阶
thermaldynamics:cover:0, 覆盖板：落叶树栅栏
thermaldynamics:cover:0, 覆盖板：柚树栅栏
thermaldynamics:cover:0, 覆盖板：金合欢树栅栏
thermaldynamics:cover:0, 覆盖板：酸橙树栅栏
thermaldynamics:cover:0, 覆盖板：栗树栅栏
thermaldynamics:cover:0, 覆盖板：崖豆树栅栏
thermaldynamics:cover:0, 覆盖板：猴面包树栅栏
thermaldynamics:cover:0, 覆盖板：红杉树栅栏
thermaldynamics:cover:0, 覆盖板：木棉树栅栏
thermaldynamics:cover:0, 覆盖板：乌檀树栅栏
thermaldynamics:cover:0, 覆盖板：桃心树栅栏
thermaldynamics:cover:0, 覆盖板：巴尔杉树栅栏
thermaldynamics:cover:0, 覆盖板：柳树栅栏
thermaldynamics:cover:0, 覆盖板：胡桃树栅栏
thermaldynamics:cover:0, 覆盖板：绿樟树栅栏
thermaldynamics:cover:0, 覆盖板：樱树栅栏
thermaldynamics:cover:0, 覆盖板：高槿树栅栏
thermaldynamics:cover:0, 覆盖板：白杨树栅栏
thermaldynamics:cover:0, 覆盖板：棕榈树栅栏
thermaldynamics:cover:0, 覆盖板：木瓜树栅栏
thermaldynamics:cover:0, 覆盖板：松树栅栏
thermaldynamics:cover:0, 覆盖板：李子树栅栏
thermaldynamics:cover:0, 覆盖板：枫树栅栏
thermaldynamics:cover:0, 覆盖板：柑橘树栅栏
thermaldynamics:cover:0, 覆盖板：巨杉树栅栏
thermaldynamics:cover:0, 覆盖板：重蚁树栅栏
thermaldynamics:cover:0, 覆盖板：紫檀树栅栏
thermaldynamics:cover:0, 覆盖板：黄檀树栅栏
thermaldynamics:cover:0, 覆盖板：斑木树栅栏
thermaldynamics:cover:0, 覆盖板：抗燃落叶树栅栏
thermaldynamics:cover:0, 覆盖板：抗燃柚树栅栏
thermaldynamics:cover:0, 覆盖板：抗燃金合欢树栅栏
thermaldynamics:cover:0, 覆盖板：抗燃酸橙树栅栏
thermaldynamics:cover:0, 覆盖板：抗燃栗树栅栏
thermaldynamics:cover:0, 覆盖板：抗燃崖豆树栅栏
thermaldynamics:cover:0, 覆盖板：抗燃猴面包树栅栏
thermaldynamics:cover:0, 覆盖板：抗燃红杉树栅栏
thermaldynamics:cover:0, 覆盖板：抗燃木棉树栅栏
thermaldynamics:cover:0, 覆盖板：抗燃乌檀树栅栏
thermaldynamics:cover:0, 覆盖板：抗燃桃心树栅栏
thermaldynamics:cover:0, 覆盖板：抗燃巴尔杉树栅栏
thermaldynamics:cover:0, 覆盖板：抗燃柳树栅栏
thermaldynamics:cover:0, 覆盖板：抗燃胡桃树栅栏
thermaldynamics:cover:0, 覆盖板：抗燃绿樟树栅栏
thermaldynamics:cover:0, 覆盖板：抗燃樱树栅栏
thermaldynamics:cover:0, 覆盖板：抗燃高槿树栅栏
thermaldynamics:cover:0, 覆盖板：抗燃白杨树栅栏
thermaldynamics:cover:0, 覆盖板：抗燃棕榈树栅栏
thermaldynamics:cover:0, 覆盖板：抗燃木瓜树栅栏
thermaldynamics:cover:0, 覆盖板：抗燃松树栅栏
thermaldynamics:cover:0, 覆盖板：抗燃李子树栅栏
thermaldynamics:cover:0, 覆盖板：抗燃枫树栅栏
thermaldynamics:cover:0, 覆盖板：抗燃柑橘树栅栏
thermaldynamics:cover:0, 覆盖板：抗燃巨杉树栅栏
thermaldynamics:cover:0, 覆盖板：抗燃重蚁树栅栏
thermaldynamics:cover:0, 覆盖板：抗燃紫檀树栅栏
thermaldynamics:cover:0, 覆盖板：抗燃黄檀树栅栏
thermaldynamics:cover:0, 覆盖板：抗燃斑木树栅栏
thermaldynamics:cover:0, 覆盖板：抗燃橡木栅栏
thermaldynamics:cover:0, 覆盖板：抗燃云杉木栅栏
thermaldynamics:cover:0, 覆盖板：抗燃白桦木栅栏
thermaldynamics:cover:0, 覆盖板：抗燃丛林木栅栏
thermaldynamics:cover:0, 覆盖板：抗燃金合欢栅栏
thermaldynamics:cover:0, 覆盖板：抗燃深色橡木栅栏
thermaldynamics:cover:0, 覆盖板：落叶树栅栏门
thermaldynamics:cover:0, 覆盖板：抗燃落叶树栅栏门
thermaldynamics:cover:0, 覆盖板：柚树栅栏门
thermaldynamics:cover:0, 覆盖板：抗燃柚树栅栏门
thermaldynamics:cover:0, 覆盖板：金合欢树栅栏门
thermaldynamics:cover:0, 覆盖板：抗燃金合欢树栅栏门
thermaldynamics:cover:0, 覆盖板：酸橙树栅栏门
thermaldynamics:cover:0, 覆盖板：抗燃酸橙树栅栏门
thermaldynamics:cover:0, 覆盖板：栗树栅栏门
thermaldynamics:cover:0, 覆盖板：抗燃栗树栅栏门
thermaldynamics:cover:0, 覆盖板：崖豆树栅栏门
thermaldynamics:cover:0, 覆盖板：抗燃崖豆树栅栏门
thermaldynamics:cover:0, 覆盖板：猴面包树栅栏门
thermaldynamics:cover:0, 覆盖板：抗燃猴面包树栅栏门
thermaldynamics:cover:0, 覆盖板：红杉树栅栏门
thermaldynamics:cover:0, 覆盖板：抗燃红杉树栅栏门
thermaldynamics:cover:0, 覆盖板：木棉树栅栏门
thermaldynamics:cover:0, 覆盖板：抗燃木棉树栅栏门
thermaldynamics:cover:0, 覆盖板：乌檀树栅栏门
thermaldynamics:cover:0, 覆盖板：抗燃乌檀树栅栏门
thermaldynamics:cover:0, 覆盖板：桃心树栅栏门
thermaldynamics:cover:0, 覆盖板：抗燃桃心树栅栏门
thermaldynamics:cover:0, 覆盖板：巴尔杉树栅栏门
thermaldynamics:cover:0, 覆盖板：抗燃巴尔杉树栅栏门
thermaldynamics:cover:0, 覆盖板：柳树栅栏门
thermaldynamics:cover:0, 覆盖板：抗燃柳树栅栏门
thermaldynamics:cover:0, 覆盖板：胡桃树栅栏门
thermaldynamics:cover:0, 覆盖板：抗燃胡桃树栅栏门
thermaldynamics:cover:0, 覆盖板：绿樟树栅栏门
thermaldynamics:cover:0, 覆盖板：抗燃绿樟树栅栏门
thermaldynamics:cover:0, 覆盖板：樱树栅栏门
thermaldynamics:cover:0, 覆盖板：抗燃樱树栅栏门
thermaldynamics:cover:0, 覆盖板：高槿树栅栏门
thermaldynamics:cover:0, 覆盖板：抗燃高槿树栅栏门
thermaldynamics:cover:0, 覆盖板：白杨树栅栏门
thermaldynamics:cover:0, 覆盖板：抗燃白杨树栅栏门
thermaldynamics:cover:0, 覆盖板：棕榈树栅栏门
thermaldynamics:cover:0, 覆盖板：抗燃棕榈树栅栏门
thermaldynamics:cover:0, 覆盖板：木瓜树栅栏门
thermaldynamics:cover:0, 覆盖板：抗燃木瓜树栅栏门
thermaldynamics:cover:0, 覆盖板：松树栅栏门
thermaldynamics:cover:0, 覆盖板：抗燃松树栅栏门
